full_name,stars,last_updated,tracked_since,description,url,last_release
GoogleCloudPlatform/generative-ai,17578,2026-08-12T03:16:34Z,2026-04-28,"Sample code and notebooks for Generative AI on Google Cloud, with Gemini Enterprise Agent Platform",https://github.com/GoogleCloudPlatform/generative-ai,
ai-shifu/ChatALL,16466,2026-08-04T02:46:51Z,2026-04-28," Concurrently chat with ChatGPT, Bing Chat, Bard, Alpaca, Vicuna, Claude, ChatGLM, MOSS, 讯飞星火, 文心一言 and more, discover the best answers",https://github.com/ai-shifu/ChatALL,
Tencent/WeKnora,19707,2026-08-12T05:23:49Z,2026-04-28,"Open-source LLM knowledge platform: turn raw documents into a queryable RAG, an autonomous reasoning agent, and a self-maintaining Wiki.",https://github.com/Tencent/WeKnora,
dottxt-ai/outlines,13878,2026-05-22T20:50:16Z,2026-04-28,Structured Outputs,https://github.com/dottxt-ai/outlines,
rowboatlabs/rowboat,17098,2026-08-11T04:41:10Z,2026-04-28,"Open-source AI coworker, with memory",https://github.com/rowboatlabs/rowboat,
liyupi/ai-guide,18248,2026-08-12T04:08:01Z,2026-04-28,程序员鱼皮的 AI 资源大全 + Vibe Coding 零基础教程，分享 OpenClaw 保姆级教程、大模型玩法（DeepSeek / GPT / Gemini / Claude / GLM）、最新 AI 资讯、Prompt 提示词大全、AI 知识百科（Agent Skills / RAG / MCP / A2A）、AI 编程教程（Harness Engineering）、AI 工具用法（Cu,https://github.com/liyupi/ai-guide,
steven2358/awesome-generative-ai,12035,2026-05-21T07:15:34Z,2026-04-28,A curated list of modern Generative Artificial Intelligence projects and services,https://github.com/steven2358/awesome-generative-ai,
saturndec/waoowaoo,11991,2026-05-05T05:45:43Z,2026-04-28,首家工业级全流程 AI 影视生产平台。Industry-first professional AI Agent platform for controllable film & video production. From shorts to live-action with Hollywood-standard workflows.,https://github.com/saturndec/waoowaoo,
Portkey-AI/gateway,11536,2026-05-01T05:52:55Z,2026-04-28,"A blazing fast AI Gateway with integrated guardrails. Route to 1,600+ LLMs, 50+ AI Guardrails with 1 fast & friendly API.",https://github.com/Portkey-AI/gateway,
ChatGPTNextWeb/NextChat,88609,2026-08-12T03:31:43Z,2026-04-28,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,https://github.com/ChatGPTNextWeb/NextChat,
openai/openai-cookbook,75208,2026-08-12T05:13:48Z,2026-04-28,Examples and guides for using the OpenAI API,https://github.com/openai/openai-cookbook,
binary-husky/gpt_academic,71208,2026-08-12T03:53:04Z,2026-04-28,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss",https://github.com/binary-husky/gpt_academic,
xtekky/gpt4free,66541,2026-08-12T04:26:52Z,2026-04-28,The official gpt4free repository | various collection of powerful language models | opus 4.6 gpt 5.3 kimi 2.5 deepseek v3.2 gemini 3,https://github.com/xtekky/gpt4free,
openinterpreter/open-interpreter,63841,2026-06-09T06:36:46Z,2026-04-28,A natural language interface for computers,https://github.com/openinterpreter/open-interpreter,
PlexPt/awesome-chatgpt-prompts-zh,61449,2026-08-12T04:53:48Z,2026-04-28,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,
code-yeongyu/oh-my-openagent,67723,2026-08-12T05:12:13Z,2026-04-28,"omo/lazycodex: The coding agent for tokenmaxxers;the one and only agent harness for complex codebases. For your Codex, for your OpenCode",https://github.com/code-yeongyu/oh-my-openagent,
lencx/ChatGPT,54434,2026-08-12T04:07:46Z,2026-04-28,"❄️ ChatGPT Desktop Application (Mac, Windows and Linux)",https://github.com/lencx/ChatGPT,
tw93/Pake,60582,2026-08-12T05:19:46Z,2026-04-28,🤱🏻 Turn any webpage into a desktop app with one command.,https://github.com/tw93/Pake,
Aider-AI/aider,48132,2026-08-12T04:40:02Z,2026-04-28,aider is AI pair programming in your terminal,https://github.com/Aider-AI/aider,
